"ET.estat";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"h: wet";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"h: wet";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"h: wet";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"h: wet";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"h: wet";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"h: wet";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"h: wet";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc"
"h: wet";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"h: wet";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"h: wet";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer"
"h: wet";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"h: wet";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"h: wet";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"j: river";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"j: river";"Minimum 7-døgns middelvannføring, sommer og vinter";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"exp"
"j: river";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"j: river";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"j: river";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"j: river";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"j: river";"AIP: Forsuringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"PIT: Eutrofieringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"ASPT: Average Score Per Taxon - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"RAMI: Forsuringsindeks for litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"Raddum forsuringsindeks-2 - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"Elvemusling (Margaritifera margaritifera) - terskelindikator i elv";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"??";"exp"
"j: river";"HBI2: Heterotrof begroingsindeks for elv";"NIVA  + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"p";"mdc"
"j: river";"Bestandsendring fisk";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"n";"mdc"
"j: river";"Tetthet av ungfisk i elver basert på laks og ørret";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"oth"
"j: river";"Fragmenteringsgrad (FG)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"Barriereeffekt (BE)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"j: river";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"X";"";"p";"?"
"k: lake";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"k: lake";"Reguleringshøyde";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"Forholdet mellom reguleringshøyde og siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"k: lake";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"k: lake";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"k: lake";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"TIc: Vannplanteindeks for eutrofiering i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"SIc: Vannplanteindeks for forsuring i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"WIc: Vannplanteindeks for vannstandsvariasjoner i reguleringsmagasin";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A1";"bm";"p";"mdc"
"k: lake";"LAMI: Forsuringsindeks for litorale bunndyr i innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"Raddum forsuringsindeks-1 - litorale bunndyr i elver og innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"MultiClear: Multimetrisk bunndyrindeks for forsuring av klare innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"PTI: Planteplankton Trofisk indeks";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"k: lake";"LACI-1: Forsuringindeks for småkreps i svært kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
